 CRIM ZN INDUS CHAS NOX RM AGE DIS RAD TAX PTRATIO B LSTAT MEDV 
 0.00632 18.00 2.31 0 0.5380 6.575 65.2 4.090 1 296.0 15.30 396.9 4.98 24.00
 0.02731 0.00 7.07 0 0.4690 6.421 78.9 4.967 2 242.0 17.80 396.9 9.14 21.60
 0.02729 0.00 7.07 0 0.4690 7.185 61.1 4.967 2 242.0 17.80 392.8 4.03 34.70
 0.03237 0.00 2.18 0 0.4580 6.998 45.8 6.062 3 222.0 18.70 394.6 2.94 33.40
 0.06905 0.00 2.18 0 0.4580 7.147 54.2 6.062 3 222.0 18.70 396.9 5.33 36.20
 0.02985 0.00 2.18 0 0.4580 6.430 58.7 6.062 3 222.0 18.70 394.1 5.21 28.70
 0.08829 12.50 7.87 0 0.5240 6.012 66.6 5.560 5 311.0 15.20 395.6 12.43 22.90
 0.14455 12.50 7.87 0 0.5240 6.172 96.1 5.950 5 311.0 15.20 396.9 19.15 27.10
 0.21124 12.50 7.87 0 0.5240 5.631 100.0 6.082 5 311.0 15.20 386.6 29.93 16.50
 0.17004 12.50 7.87 0 0.5240 6.004 85.9 6.592 5 311.0 15.20 386.7 17.10 18.90
 0.22489 12.50 7.87 0 0.5240 6.377 94.3 6.346 5 311.0 15.20 392.5 20.45 15.00
 0.11747 12.50 7.87 0 0.5240 6.009 82.9 6.226 5 311.0 15.20 396.9 13.27 18.90
 0.09378 12.50 7.87 0 0.5240 5.889 39.0 5.450 5 311.0 15.20 390.5 15.71 21.70
 0.62976 0.00 8.14 0 0.5380 5.949 61.8 4.707 4 307.0 21.00 396.9 8.26 20.40
 0.63796 0.00 8.14 0 0.5380 6.096 84.5 4.461 4 307.0 21.00 380.0 10.26 18.20
 0.62739 0.00 8.14 0 0.5380 5.834 56.5 4.498 4 307.0 21.00 395.6 8.47 19.90
 1.05393 0.00 8.14 0 0.5380 5.935 29.3 4.498 4 307.0 21.00 386.8 6.58 23.10
 0.78420 0.00 8.14 0 0.5380 5.990 81.7 4.257 4 307.0 21.00 386.7 14.67 17.50
 0.80271 0.00 8.14 0 0.5380 5.456 36.6 3.796 4 307.0 21.00 288.9 11.69 20.20
 0.72580 0.00 8.14 0 0.5380 5.727 69.5 3.796 4 307.0 21.00 390.9 11.28 18.20
 1.25179 0.00 8.14 0 0.5380 5.570 98.1 3.797 4 307.0 21.00 376.5 21.02 13.60
 0.85204 0.00 8.14 0 0.5380 5.965 89.2 4.012 4 307.0 21.00 392.5 13.83 19.60
 1.23247 0.00 8.14 0 0.5380 6.142 91.7 3.976 4 307.0 21.00 396.9 18.72 15.20
 0.98843 0.00 8.14 0 0.5380 5.813 100.0 4.095 4 307.0 21.00 394.5 19.88 14.50
 0.75026 0.00 8.14 0 0.5380 5.924 94.1 4.399 4 307.0 21.00 394.3 16.30 15.60
 0.84054 0.00 8.14 0 0.5380 5.599 85.7 4.454 4 307.0 21.00 303.4 16.51 13.90
 0.67191 0.00 8.14 0 0.5380 5.813 90.3 4.682 4 307.0 21.00 376.8 14.81 16.60
 0.95577 0.00 8.14 0 0.5380 6.047 88.8 4.453 4 307.0 21.00 306.3 17.28 14.80
 0.77299 0.00 8.14 0 0.5380 6.495 94.4 4.454 4 307.0 21.00 387.9 12.80 18.40
 1.00245 0.00 8.14 0 0.5380 6.674 87.3 4.239 4 307.0 21.00 380.2 11.98 21.00
 1.13081 0.00 8.14 0 0.5380 5.713 94.1 4.233 4 307.0 21.00 360.1 22.60 12.70
 1.35472 0.00 8.14 0 0.5380 6.072 100.0 4.175 4 307.0 21.00 376.7 13.04 14.50
 1.38799 0.00 8.14 0 0.5380 5.950 82.0 3.990 4 307.0 21.00 232.6 27.71 13.20
 1.15172 0.00 8.14 0 0.5380 5.701 95.0 3.787 4 307.0 21.00 358.7 18.35 13.10
 1.61282 0.00 8.14 0 0.5380 6.096 96.9 3.759 4 307.0 21.00 248.3 20.34 13.50
 0.06417 0.00 5.96 0 0.4990 5.933 68.2 3.360 5 279.0 19.20 396.9 9.68 18.90
 0.09744 0.00 5.96 0 0.4990 5.841 61.4 3.377 5 279.0 19.20 377.5 11.41 20.00
 0.08014 0.00 5.96 0 0.4990 5.850 41.5 3.934 5 279.0 19.20 396.9 8.77 21.00
 0.17505 0.00 5.96 0 0.4990 5.966 30.2 3.847 5 279.0 19.20 393.4 10.13 24.70
 0.02763 75.00 2.95 0 0.4280 6.595 21.8 5.401 3 252.0 18.30 395.6 4.32 30.80
 0.03359 75.00 2.95 0 0.4280 7.024 15.8 5.401 3 252.0 18.30 395.6 1.98 34.90
 0.12744 0.00 6.91 0 0.4480 6.770 2.9 5.720 3 233.0 17.90 385.4 4.84 26.60
 0.14150 0.00 6.91 0 0.4480 6.169 6.6 5.720 3 233.0 17.90 383.3 5.81 25.30
 0.15936 0.00 6.91 0 0.4480 6.211 6.5 5.720 3 233.0 17.90 394.4 7.44 24.70
 0.12269 0.00 6.91 0 0.4480 6.069 40.0 5.720 3 233.0 17.90 389.3 9.55 21.20
 0.17142 0.00 6.91 0 0.4480 5.682 33.8 5.100 3 233.0 17.90 396.9 10.21 19.30
 0.18836 0.00 6.91 0 0.4480 5.786 33.3 5.100 3 233.0 17.90 396.9 14.15 20.00
 0.22927 0.00 6.91 0 0.4480 6.030 85.5 5.689 3 233.0 17.90 392.7 18.80 16.60
 0.25387 0.00 6.91 0 0.4480 5.399 95.3 5.870 3 233.0 17.90 396.9 30.81 14.40
 0.21977 0.00 6.91 0 0.4480 5.602 62.0 6.087 3 233.0 17.90 396.9 16.20 19.40
 0.08873 21.00 5.64 0 0.4390 5.963 45.7 6.814 4 243.0 16.80 395.5 13.45 19.70
 0.04337 21.00 5.64 0 0.4390 6.115 63.0 6.814 4 243.0 16.80 393.9 9.43 20.50
 0.05360 21.00 5.64 0 0.4390 6.511 21.1 6.814 4 243.0 16.80 396.9 5.28 25.00
 0.04981 21.00 5.64 0 0.4390 5.998 21.4 6.814 4 243.0 16.80 396.9 8.43 23.40
 0.01360 75.00 4.00 0 0.4100 5.888 47.6 7.319 3 469.0 21.10 396.9 14.80 18.90
 0.01311 90.00 1.22 0 0.4030 7.249 21.9 8.696 5 226.0 17.90 395.9 4.81 35.40
 0.02055 85.00 0.74 0 0.4100 6.383 35.7 9.187 2 313.0 17.30 396.9 5.77 24.70
 0.01432 100.00 1.32 0 0.4110 6.816 40.5 8.324 5 256.0 15.10 392.9 3.95 31.60
 0.15445 25.00 5.13 0 0.4530 6.145 29.2 7.814 8 284.0 19.70 390.6 6.86 23.30
 0.10328 25.00 5.13 0 0.4530 5.927 47.2 6.932 8 284.0 19.70 396.9 9.22 19.60
 0.14932 25.00 5.13 0 0.4530 5.741 66.2 7.225 8 284.0 19.70 395.1 13.15 18.70
 0.17171 25.00 5.13 0 0.4530 5.966 93.4 6.818 8 284.0 19.70 378.0 14.44 16.00
 0.11027 25.00 5.13 0 0.4530 6.456 67.8 7.225 8 284.0 19.70 396.9 6.73 22.20
 0.12650 25.00 5.13 0 0.4530 6.762 43.4 7.980 8 284.0 19.70 395.5 9.50 25.00
 0.01951 17.50 1.38 0 0.4161 7.104 59.5 9.222 3 216.0 18.60 393.2 8.05 33.00
 0.03584 80.00 3.37 0 0.3980 6.290 17.8 6.611 4 337.0 16.10 396.9 4.67 23.50
 0.04379 80.00 3.37 0 0.3980 5.787 31.1 6.611 4 337.0 16.10 396.9 10.24 19.40
 0.05789 12.50 6.07 0 0.4090 5.878 21.4 6.498 4 345.0 18.90 396.2 8.10 22.00
 0.13554 12.50 6.07 0 0.4090 5.594 36.8 6.498 4 345.0 18.90 396.9 13.09 17.40
 0.12816 12.50 6.07 0 0.4090 5.885 33.0 6.498 4 345.0 18.90 396.9 8.79 20.90
 0.08826 0.00 10.81 0 0.4130 6.417 6.6 5.287 4 305.0 19.20 383.7 6.72 24.20
 0.15876 0.00 10.81 0 0.4130 5.961 17.5 5.287 4 305.0 19.20 376.9 9.88 21.70
 0.09164 0.00 10.81 0 0.4130 6.065 7.8 5.287 4 305.0 19.20 390.9 5.52 22.80
 0.19539 0.00 10.81 0 0.4130 6.245 6.2 5.287 4 305.0 19.20 377.1 7.54 23.40
 0.07896 0.00 12.83 0 0.4370 6.273 6.0 4.251 5 398.0 18.70 394.9 6.78 24.10
 0.09512 0.00 12.83 0 0.4370 6.286 45.0 4.502 5 398.0 18.70 383.2 8.94 21.40
 0.10153 0.00 12.83 0 0.4370 6.279 74.5 4.052 5 398.0 18.70 373.6 11.97 20.00
 0.08707 0.00 12.83 0 0.4370 6.140 45.8 4.090 5 398.0 18.70 386.9 10.27 20.80
 0.05646 0.00 12.83 0 0.4370 6.232 53.7 5.014 5 398.0 18.70 386.4 12.34 21.20
 0.08387 0.00 12.83 0 0.4370 5.874 36.6 4.502 5 398.0 18.70 396.0 9.10 20.30
 0.04113 25.00 4.86 0 0.4260 6.727 33.5 5.400 4 281.0 19.00 396.9 5.29 28.00
 0.04462 25.00 4.86 0 0.4260 6.619 70.4 5.400 4 281.0 19.00 395.6 7.22 23.90
 0.03659 25.00 4.86 0 0.4260 6.302 32.2 5.400 4 281.0 19.00 396.9 6.72 24.80
 0.03551 25.00 4.86 0 0.4260 6.167 46.7 5.400 4 281.0 19.00 390.6 7.51 22.90
 0.05059 0.00 4.49 0 0.4490 6.389 48.0 4.779 3 247.0 18.50 396.9 9.62 23.90
 0.05735 0.00 4.49 0 0.4490 6.630 56.1 4.437 3 247.0 18.50 392.3 6.53 26.60
 0.05188 0.00 4.49 0 0.4490 6.015 45.1 4.427 3 247.0 18.50 395.9 12.86 22.50
 0.07151 0.00 4.49 0 0.4490 6.121 56.8 3.747 3 247.0 18.50 395.1 8.44 22.20
 0.05660 0.00 3.41 0 0.4890 7.007 86.3 3.421 2 270.0 17.80 396.9 5.50 23.60
 0.05302 0.00 3.41 0 0.4890 7.079 63.1 3.414 2 270.0 17.80 396.0 5.70 28.70
 0.04684 0.00 3.41 0 0.4890 6.417 66.1 3.092 2 270.0 17.80 392.1 8.81 22.60
 0.03932 0.00 3.41 0 0.4890 6.405 73.9 3.092 2 270.0 17.80 393.5 8.20 22.00
 0.04203 28.00 15.04 0 0.4640 6.442 53.6 3.665 4 270.0 18.20 395.0 8.16 22.90
 0.02875 28.00 15.04 0 0.4640 6.211 28.9 3.665 4 270.0 18.20 396.3 6.21 25.00
 0.04294 28.00 15.04 0 0.4640 6.249 77.3 3.615 4 270.0 18.20 396.9 10.59 20.60
 0.12204 0.00 2.89 0 0.4450 6.625 57.8 3.495 2 276.0 18.00 357.9 6.65 28.40
 0.11504 0.00 2.89 0 0.4450 6.163 69.6 3.495 2 276.0 18.00 391.8 11.34 21.40
 0.12083 0.00 2.89 0 0.4450 8.069 76.0 3.495 2 276.0 18.00 396.9 4.21 38.70
 0.08187 0.00 2.89 0 0.4450 7.820 36.9 3.495 2 276.0 18.00 393.5 3.57 43.80
 0.06860 0.00 2.89 0 0.4450 7.416 62.5 3.495 2 276.0 18.00 396.9 6.19 33.20
 0.14866 0.00 8.56 0 0.5200 6.727 79.9 2.777 5 384.0 20.90 394.7 9.42 27.50
 0.11432 0.00 8.56 0 0.5200 6.781 71.3 2.856 5 384.0 20.90 395.5 7.67 26.50
 0.22876 0.00 8.56 0 0.5200 6.405 85.4 2.714 5 384.0 20.90 70.8 10.63 18.60
 0.21161 0.00 8.56 0 0.5200 6.137 87.4 2.714 5 384.0 20.90 394.4 13.44 19.30
 0.13960 0.00 8.56 0 0.5200 6.167 90.0 2.421 5 384.0 20.90 392.6 12.33 20.10
 0.13262 0.00 8.56 0 0.5200 5.851 96.7 2.106 5 384.0 20.90 394.0 16.47 19.50
 0.17120 0.00 8.56 0 0.5200 5.836 91.9 2.211 5 384.0 20.90 395.6 18.66 19.50
 0.13117 0.00 8.56 0 0.5200 6.127 85.2 2.122 5 384.0 20.90 387.6 14.09 20.40
 0.12802 0.00 8.56 0 0.5200 6.474 97.1 2.432 5 384.0 20.90 395.2 12.27 19.80
 0.26363 0.00 8.56 0 0.5200 6.229 91.2 2.545 5 384.0 20.90 391.2 15.55 19.40
 0.10793 0.00 8.56 0 0.5200 6.195 54.4 2.777 5 384.0 20.90 393.4 13.00 21.70
 0.10084 0.00 10.01 0 0.5470 6.715 81.6 2.677 6 432.0 17.80 395.5 10.16 22.80
 0.12329 0.00 10.01 0 0.5470 5.913 92.9 2.353 6 432.0 17.80 394.9 16.21 18.80
 0.22212 0.00 10.01 0 0.5470 6.092 95.4 2.548 6 432.0 17.80 396.9 17.09 18.70
 0.14231 0.00 10.01 0 0.5470 6.254 84.2 2.256 6 432.0 17.80 388.7 10.45 18.50
 0.17134 0.00 10.01 0 0.5470 5.928 88.2 2.463 6 432.0 17.80 344.9 15.76 18.30
 0.13158 0.00 10.01 0 0.5470 6.176 72.5 2.730 6 432.0 17.80 393.3 12.04 21.20
 0.15098 0.00 10.01 0 0.5470 6.021 82.6 2.747 6 432.0 17.80 394.5 10.30 19.20
 0.13058 0.00 10.01 0 0.5470 5.872 73.1 2.477 6 432.0 17.80 338.6 15.37 20.40
 0.14476 0.00 10.01 0 0.5470 5.731 65.2 2.759 6 432.0 17.80 391.5 13.61 19.30
 0.06899 0.00 25.65 0 0.5810 5.870 69.7 2.257 2 188.0 19.10 389.1 14.37 22.00
 0.07165 0.00 25.65 0 0.5810 6.004 84.1 2.197 2 188.0 19.10 377.6 14.27 20.30
 0.09299 0.00 25.65 0 0.5810 5.961 92.9 2.086 2 188.0 19.10 378.0 17.93 20.50
 0.15038 0.00 25.65 0 0.5810 5.856 97.0 1.944 2 188.0 19.10 370.3 25.41 17.30
 0.09849 0.00 25.65 0 0.5810 5.879 95.8 2.006 2 188.0 19.10 379.3 17.58 18.80
